Nro Factura|Fecha|CUIT|Pagado|Monto Factura
16-0461|31/10/2021|30-12345678-9|SI|875
16-0462|30/09/2022|30-87654321-9|NO|720
16-0463|28/02/2019|30-11223344-9|SI|512
16-0464|31/10/2022|30-13243546-9|NO|800
16-0465|31/08/2022|30-97867564-9|NO|625
16-0466|30/09/2018|30-56473829-9|SI|710
16-0467|31/10/2022|30-98979695-9|NO|525
16-0468|30/11/2021|30-12131415-9|SI|960
16-0469|31/10/2022|30-23242526-9|NO|250
16-0470|28/02/2022|30-76757473-9|SI|950
16-0471|30/04/2022|30-12546378-9|SI|630
16-0472|31/08/2022|30-54916389-9|NO|420
16-0473|30/04/2022|30-20024954-9|NO|630
