CUIT|DNI AUTORIZADO|Contraseña|Nombre y apellido
30-12345678-9|25508312|12345678|Íngrid Aranda Priego
30-12345678-9|29529152|g123h123|Juana Rincón 
30-87654321-9|23874120|98765432|Viviana Uría
30-87654321-9|42617492|9z765432|Oriana Guerrero
30-11223344-9|39673212|9r765432|Amada Jiménez
30-11223344-9|40751298|13243546|Abigaíl Cerezo 
30-13243546-9|22894710|1324e546|Amada Sosa Nuñez
30-13243546-9|30791228|c122d344|Pablo Bernad Lamas
30-97867564-9|25893712|c132d345|José Noguera
30-97867564-9|29785012|e233f455|Daniela Hurtado 
30-56473829-9|27529212|e234f456|Héctor Reina
30-56473829-9|41785492|g344h566|Patricio Madrigal
30-98979695-9|40920021|g344ht67|Vito Blázquez
30-98979695-9|42758102|i788j911|Adriana Charo
30-12131415-9|42849102|i758j912|Luis Pinilla 
30-12131415-9|39846102|k111L222|Leonardo Palacios
30-23242526-9|20472912|k1f1L223|Lourdes Milla 
30-23242526-9|41902740|m333n44|Amancio Cerdá
30-76757473-9|18946212|m23n445|Mar Barreda 
30-76757473-9|40002912|ñ5ñ5o666|Enrique Elías 
30-12546378-9|33283001|ñ555o667|Lucía Beltrán 
30-12546378-9|39510241|p777q888|Jacinta Alberdi
30-54916389-9|30102932|p770q889|Benjamín Moreno
30-54916389-9|22764192|a999b000|Marisel Barroso 
30-20024954-9|25778201|a929b001|Santiago Bernal 
30-20024954-9|24916202|a222b333|Maite Gonzalez
